#{"t_start": 1763153385.235192, "env_id": "emergency-yield-v0"}
r,l,t
0.0,7,1.400202
0.0,6,2.20339
0.0,8,3.278475
0.0,12,4.932756
0.0,17,7.274648
0.0,9,8.476074
0.0,3,8.892413
0.0,13,10.686479
0.0,4,11.27384
0.0,8,12.467774
0.0,15,14.653031
0.0,10,16.019412
0.0,10,17.408547
0.0,7,18.353263
0.0,2,18.631163
0.0,27,22.330483
0.0,3,22.749176
0.0,40,28.16802
0.0,9,29.400049
0.0,7,30.371131
0.0,12,32.007498
0.0,13,33.765841
0.0,11,35.23418
0.0,11,36.700196
0.0,19,39.258457
0.0,35,44.034932
0.0,25,47.590451
0.0,16,49.756711
0.0,23,52.845026
0.0,9,54.049873
0.0,2,54.327063
0.0,3,54.729722
0.0,30,58.732771
0.0,21,61.544689
0.72,11,63.003955
0.0,10,64.339876
0.0,13,66.089446
0.0,6,66.895211
0.0,3,67.298053
0.0,6,68.117542
0.0,3,68.528363
0.0,7,69.506784
0.0,40,75.208361
0.57,17,77.555437
0.32,27,81.342417
0.0,7,82.356971
0.0,11,83.817202
0.0,10,85.170309
0.0,15,87.209954
0.0,6,88.029684
0.0,22,91.069432
0.0,12,92.709768
0.0,10,94.078025
0.0,6,94.892204
0.0,10,96.25508
0.0,8,97.337873
0.0,11,98.841177
0.0,22,101.800239
0.0,4,102.34473
0.0,3,102.757258
0.0,3,103.190534
0.0,12,104.969306
0.0,22,108.157319
0.0,7,109.13049
0.0,10,110.52102
0.0,22,113.545621
0.0,5,114.215921
0.67,13,115.996408
0.0,28,119.876466
0.0,5,120.572301
0.0,19,123.208076
0.0,6,124.058456
0.0,3,124.483804
0.0,11,126.007065
0.0,22,129.055467
0.0,21,131.824685
0.0,36,136.721138
0.0,27,140.338726
0.0,20,143.011982
0.0,9,144.220672
0.0,2,144.502436
0.0,12,146.122932
0.0,10,147.505139
0.0,3,147.918694
0.0,3,148.347328
0.57,17,150.629076
0.0,26,154.188262
0.0,10,155.547817
0.0,3,155.999452
0.0,15,158.053938
0.345,26,161.520883
0.0,3,161.975218
0.0,4,162.5287
0.0,9,163.751218
0.0,21,166.634446
0.0,27,170.41567
0.0,19,173.054623
0.0,25,176.45979
0.72,11,177.930186
0.0,12,179.535542
0.0,20,182.22701
0.0,5,182.900662
0.0,19,185.425251
0.595,16,187.54417
0.445,22,190.518817
0.0,12,192.129946
0.67,13,193.875256
0.0,3,194.273011
0.0,3,194.684807
0.745,10,196.021376
0.0,3,196.426472
0.0,9,197.64825
0.0,15,199.661902
0.0,8,200.792619
0.0,9,202.021059
0.77,9,203.348712
0.0,38,208.506213
0.0,6,209.316773
0.0,18,211.75103
0.47,21,214.674637
0.0,17,216.95957
0.0,14,218.843774
0.0,21,221.637454
0.595,16,223.845192
0.0,3,224.273065
0.0,9,225.497278
0.0,7,226.427329
0.0,3,226.833732
0.0,3,227.256113
0.0,10,228.612127
0.0,5,229.307577
0.0,4,229.845716
0.0,16,232.012892
0.0,6,232.812114
0.695,12,234.440499
0.0,4,234.981832
0.0,5,235.663719
0.0,6,236.469074
0.0,12,238.058885
0.0,5,238.737901
0.0,31,242.984152
0.0,2,243.261118
0.0,5,243.922046
0.0,5,244.582314
0.0,9,245.827358
0.0,30,249.873265
0.57,17,252.126255
0.0,6,252.95674
0.0,7,253.893302
0.0,21,256.718426
0.0,12,258.303036
0.0,13,260.020749
0.0,8,261.089549
0.0,9,262.299827
0.0,4,262.836372
0.0,40,268.184237
0.0,19,270.731757
0.0,30,274.75367
0.0,9,275.993421
0.0,6,276.806674
0.0,18,279.19737
0.0,9,280.395011
0.0,15,282.394808
0.0,13,284.139677
0.0,5,284.821288
0.0,27,288.43565
0.0,8,289.531035
0.0,10,290.873479
0.0,10,292.219872
0.0,36,297.00848
0.0,5,297.691482
0.0,7,298.621217
0.0,10,299.957452
0.0,4,300.49058
0.0,4,301.025064
0.0,37,305.945862
0.0,19,308.489225
0.0,8,309.551488
0.0,13,311.346074
0.0,8,312.448954
0.0,5,313.134496
0.0,40,318.568322
0.0,8,319.673345
0.0,9,320.923749
0.0,13,322.669019
0.0,4,323.214423
0.295,28,326.951071
0.0,14,328.8096
0.0,3,329.216118
0.0,7,330.145172
0.0,12,331.767753
0.0,9,332.973821
0.0,6,333.789214
0.095,36,338.636717
0.0,5,339.308399
0.0,11,340.793529
0.0,3,341.209371
0.0,5,341.884916
0.0,10,343.229007
0.0,18,345.651862
0.0,4,346.198534
0.0,26,349.702155
0.0,15,351.71196
0.0,16,353.870974
0.0,8,354.951798
0.595,16,357.094168
0.67,13,358.842135
0.0,11,360.436479
0.0,15,362.64057
0.0,12,364.399435
0.37,25,367.997491
0.0,6,368.862016
